시군구,번지,본번,부번,건물명,전용면적(㎡),대지권면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명,해제사유발생일,거래유형,중개사소재지
서울특별시 양천구 신정동,913-8,913,8,신목아트빌,45.67,25.48,202208,4,"29,000",3,2011,은행정로17길 17-1,,중개거래,"대구 수성구, 서울 양천구"
서울특별시 양천구 신정동,973-39,973,39,신성스카이뷰,25.32,9.59,202303,7,"33,200",7,2020,오목로24길 29,,중개거래,서울 양천구
서울특별시 양천구 신정동,875-10,875,10,신원빌라,49.48,20.77,202206,10,"29,000",2,2002,신정중앙로15길 6-4,,중개거래,서울 양천구
서울특별시 양천구 신정동,948-15,948,15,신정동성캐슬,28.91,21.5,202205,21,"42,000",2,2022,오목로34길 6-14,,중개거래,서울 양천구
서울특별시 양천구 신정동,948-15,948,15,신정동성캐슬,28.96,22.5,202206,16,"43,000",3,2022,오목로34길 6-14,,중개거래,서울 양천구
서울특별시 양천구 신정동,948-15,948,15,신정동성캐슬,28.91,21.5,202206,17,"42,000",3,2022,오목로34길 6-14,20221128,중개거래,서울 양천구
서울특별시 양천구 신정동,948-15,948,15,신정동성캐슬,28.96,22.5,202207,11,"43,400",2,2022,오목로34길 6-14,,중개거래,서울 양천구
서울특별시 양천구 신정동,948-15,948,15,신정동성캐슬,28.91,21.5,202211,24,"42,000",3,2022,오목로34길 6-14,,중개거래,서울 양천구
서울특별시 양천구 신정동,916-6,916,6,신정빌라(916-6),83.16,39.26,202304,25,"29,000",1,1998,은행정로15길 17,,직거래,-
서울특별시 양천구 신정동,914-2,914,2,신정킹덤,26.33,17.59,202205,31,"26,500",6,2017,은행정로17길 25-1,,중개거래,서울 양천구
서울특별시 양천구 신정동,950-4,950,4,썬샤인뷰,41.77,23.38,202205,16,"28,000",5,2011,은행정로13길 27,,중개거래,서울 양천구
서울특별시 양천구 신정동,950-4,950,4,썬샤인뷰,29.94,15.11,202206,8,"26,800",3,2011,은행정로13길 27,,중개거래,서울 양천구
